GEOID,NAME,estimate_pop,estimate_hispanic,estimate_couplehh,moe_pop,moe_hispanic,moe_couplehh,his_per
48235,"Irion County, Texas",1432,428,340,183,53,87,0.2988826815642458
48033,"Borden County, Texas",723,110,197,122,112,55,0.15214384508990317
48309,"McLennan County, Texas",263608,70219,44999,NA,NA,1330,0.2663765894813511
48251,"Johnson County, Texas",188820,46403,38193,NA,NA,1051,0.24575256858383646
48451,"Tom Green County, Texas",119398,47877,20912,NA,NA,907,0.400986616191226
48133,"Eastland County, Texas",17846,3013,3761,NA,NA,322,0.16883335201165528
48285,"Lavaca County, Texas",20479,4046,4575,NA,NA,280,0.19756824063674985
48113,"Dallas County, Texas",2603816,1061995,412496,NA,NA,4527,0.40786100093094135
48013,"Atascosa County, Texas",50058,32389,8543,NA,NA,664,0.6470294458428223
48101,"Cottle County, Texas",1302,338,232,188,133,56,0.25960061443932414
48183,"Gregg County, Texas",124860,24748,21922,NA,NA,846,0.19820599070959474
48233,"Hutchinson County, Texas",20413,5011,3642,NA,NA,333,0.24548082104541225
48127,"Dimmit County, Texas",8507,7403,1067,NA,NA,213,0.8702245209827201
48447,"Throckmorton County, Texas",1589,124,331,183,53,62,0.07803650094398994
48337,"Montague County, Texas",20599,2463,4441,NA,NA,322,0.11956891111218991
48159,"Franklin County, Texas",10522,1500,2155,NA,NA,293,0.14255844896407527
48445,"Terry County, Texas",11699,6574,1652,NA,NA,285,0.5619283699461493
48461,"Upton County, Texas",3227,1812,628,NA,171,114,0.5615122404710258
48163,"Frio County, Texas",18019,13977,2350,NA,NA,381,0.7756812253732172
48179,"Gray County, Texas",21131,6499,4137,NA,NA,306,0.30755761677156784
48425,"Somervell County, Texas",9510,1719,2297,NA,NA,242,0.1807570977917981
48211,"Hemphill County, Texas",3311,1099,746,NA,140,115,0.33192389006342493
48107,"Crosby County, Texas",5072,2831,960,NA,NA,113,0.5581624605678234
48433,"Stonewall County, Texas",1244,283,235,113,112,56,0.227491961414791
48463,"Uvalde County, Texas",24810,17548,4008,NA,NA,416,0.7072954453849254
48415,"Scurry County, Texas",16633,7089,2875,NA,NA,351,0.42620092587025793
48213,"Henderson County, Texas",83658,11964,17315,NA,NA,666,0.14301082980707164
48189,"Hale County, Texas",32247,19597,5216,NA,NA,346,0.6077154463981146
48487,"Wilbarger County, Texas",12712,3798,1926,NA,NA,312,0.2987728130899937
48263,"Kent County, Texas",727,86,145,113,52,45,0.11829436038514443
48363,"Palo Pinto County, Texas",28920,5846,5450,NA,NA,328,0.20214384508990318
48221,"Hood County, Texas",64198,8569,15609,NA,NA,600,0.13347767843234992
48027,"Bell County, Texas",379811,98037,65734,NA,NA,1856,0.25812048624184136
48259,"Kendall County, Texas",46971,11114,11315,NA,NA,565,0.23661408102871984
48365,"Panola County, Texas",22624,2266,4401,NA,NA,338,0.10015912305516265
48171,"Gillespie County, Texas",27202,6092,6175,NA,NA,400,0.2239541210205132
48111,"Dallam County, Texas",7180,3781,1383,NA,NA,236,0.5266016713091922
48441,"Taylor County, Texas",144259,35709,26485,NA,NA,928,0.24753394935497958
48473,"Waller County, Texas",59455,19593,9913,NA,NA,619,0.329543352115045
48087,"Collingsworth County, Texas",2733,891,418,182,174,78,0.3260153677277717
48439,"Tarrant County, Texas",2135743,637594,376410,NA,NA,4541,0.2985349829075877
48123,"DeWitt County, Texas",19853,7017,3322,NA,NA,208,0.3534478416360248
48115,"Dawson County, Texas",12311,6815,1832,NA,NA,250,0.5535699780683941
48097,"Cooke County, Texas",42473,8719,8923,NA,NA,537,0.20528335648529655
